X,Y,Kod_stacji,Nazwa_stacji,Wysokosc
19.6412400056645,49.9638691351821,"249190020",BRZEŹNICA,"227"
19.2664436830361,49.9497029608832,"249199999",OSIEK,"265"
19.3791223749979,49.9380509450251,"249190040",GIERAŁTOWICE,"296"
19.8128491349991,49.9424284811822,"249190050",RADZISZÓW,"222"
19.9647996821067,49.9046956002713,"249190060",SIEPRAW,"267"
19.2253057140762,49.8789094150945,"249190070",KĘTY,"275"
19.5187424684652,49.8818949159899,"249190080",WADOWICE,"259"
19.6919977730289,49.8691408905038,"249190110",KALWARIA ZEBRZYDOWSKA,"290"
19.4656336063034,49.8330637306171,"249199997",PONIKIEW,"360"
19.2163785947358,49.813941565511,"249199996",PORĄBKA,"310"
19.9176256554074,49.7964675183058,"249190150",STRÓŻA,"330"
19.6865477429284,49.7805529345659,"249199994",BUDZÓW,"370"
19.7652675272005,49.773508029465,"249199993",BIEŃKÓWKA,"475"
19.788146905319,49.7595120479631,"249190170",BOGDANÓWKA,"812"
19.969609932464,49.7200730170411,"249190230",LUBIEŃ,"428"
19.417721762567,49.6882643192041,"249190240",LACHOWICE KRALE,"616"
19.8293796786653,49.6350246617737,"249190250",JORDANÓW,"445"
19.4837760781682,49.6807400774485,"249190260",ROZTOKI,"602"
19.7389102641765,49.6788972347574,"249190270",OSIELEC,"438"
19.9099532371788,49.6835328627417,"249190280",KRZECZÓW,"548"
19.5321505797088,49.6554085761539,"249199988",ZAWOJA I,"570"
19.7472416349189,49.6177374336996,"249190360",SIDZINA,"545"
19.5875721326936,49.563797683335,"249190450",ŚMIETANOWA,"785"
19.772293473134,49.5661509930486,"249190460",SPYTKOWICE GÓRNE,"625"
19.8816314915429,49.5648228297018,"249190470",RABA WYŻNA,"536"
19.6518868330606,49.5488109872227,"249190490",ZUBRZYCA GÓRNA,"700"
19.8143585991965,49.5457315685397,"249190510",HARKABUZ,"750"
19.5500216060877,49.5303693734775,"249199987",STAŃCOWA,"760"
19.6792508661906,49.5024877563286,"249190760",ZUBRZYCA DOLNA,"655"
19.7064358014047,49.4194146575672,"249190590",CHYŻNE,"681"
19.8840611772227,49.3916192408012,"249190790",RATUŁÓW,"679"
19.9732300784457,49.3842421816175,"249190620",BAŃSKA WYŻNA,"896"
19.9291116756146,49.332217387858,"249190640",NOWE BYSTRE,"870"
19.9500000000121,49.3333333310934,"249199982",LIGASÓWKA-ZĄB,"965"
19.9083025603112,49.3099945403591,"249199981",NOWE BYSTRE-SŁODYCZKI,"980"
19.9321444617538,49.3071112168239,"249190650",GUBAŁÓWKA,"1118"
19.8708676463948,49.2777568124377,"249190830",KOŚCIELISKO-KIRY,"933"
19.9805325938456,49.2686424943345,"249199977",KUŹNICE,"1024"
20.0375523073927,49.9408100895034,"249200030",KOŹMICE WIELKIE,"316"
20.828431810714,49.9530254408751,"249200040",WOJNICZ,"210"
20.3091473052501,49.920696283512,"249200050",STRADOMKA,"226"
20.4656040422988,49.9168824552663,"249209998",NOWY WIŚNICZ,"260"
20.6093516613657,49.9189823840471,"249209997",USZEW,"280"
20.2166666700158,49.9000000010946,"249209996",GDÓW,"240"
20.588194635266,49.8953106860548,"249200060",GNOJNIK,"310"
20.2756102560109,49.8619779619365,"249200080",ŁAPANÓW,"286"
20.5374799498192,49.8650286481373,"249209995",LIPNICA DOLNA,"280"
20.8414354642096,49.8585830206946,"249200090",LUSŁAWICE,"210"
20.5833333300205,49.8166666710931,"249209994",IWKOWA,"310"
20.6685621257072,49.815615716995,"249209993",CZCHÓW,"325"
20.0128466802602,49.8124923608564,"249200570",TRZEMEŚNIA,"347"
20.4161540783341,49.785330359484,"249200120",ROZDZIELE,"627"
20.0744569285757,49.7501702839223,"249200140",WĘGLÓWKA,"512"
20.6389161454845,49.738309040981,"249200150",BILSKO,"285"
20.2500000000161,49.7166666710941,"249209989",DOBRA,"465"
20.6279968310968,49.7184770740093,"249200160",ŚWIDNIK,"345"
20.8296318277903,49.7120791892925,"249200170",JASIENNA,"380"
20.1826802105802,49.6995543584655,"249209988",GRUSZOWIEC,"685"
20.0558576975079,49.6581648465746,"249200190",RABA NIŻNA,"403"
20.2150576508976,49.6523523803492,"249200210",PÓŁRZECZKI,"650"
20.4688089226222,49.6530712084269,"249209985",WIERZCHY,"580"
20.5667992275003,49.6541286912453,"249209984",WYSOKIE,"645"
20.3832415447274,49.640361091181,"249200220",ROZTOKA,"815"
20.0800735196512,49.6208632196149,"249209983",NIEDŹWIEDŹ,"490"
20.346233971779,49.6149607499319,"249209982",ZALESIE,"670"
20.9534036119597,49.6191811943256,"249200230",GRYBÓW,"335"
20.0257834765091,49.5895892668812,"249200250",JASIONÓW,"742"
20.3315304108155,49.5262120235816,"249209981",OCHOTNICA DOLNA,"480"
20.8583912389759,49.5259057233946,"249200280",ŁABOWA,"455"
20.2447760985049,49.5102434168964,"249200290",OCHOTNICA GÓRNA,"617"
20.0470159183304,49.4907891937254,"249200310",KOWANIEC,"623"
20.2095729548441,49.4658390566426,"249200340",DĘBNO,"536"
20.9565473269389,49.4651258850446,"249200350",HUTA,"756"
20.0264030666085,49.4253016773113,"249200380",SZAFLARY,"638"
20.4995663034698,49.4250779855842,"249209977",SZCZAWNICA,"506"
20.1049864441294,49.4128283601757,"249200450",BIAŁKA TATRZAŃSKA,"680"
20.2587005259715,49.4024718377757,"249200460",ŁAPSZE NIŻNE,"575"
20.9980555600254,49.343611111087,"249200520",WOJKOWA,"680"
20.1150496977981,49.2636621111122,"249200530",ŁYSA POLANA,"970"
20.0715174883181,49.2010739815447,"249200910",MORSKIE OKO,"1400"
21.3082879039497,49.987152469202,"249210010",PILZNO,"195"
21.553201156148,49.9269060518699,"249210020",BRZEZINY,"290"
21.7664545392219,49.9331717319496,"249219999",PSTRĄGOWA,"250"
21.0474820065235,49.9038432451717,"249210030",TUCHÓW,"220"
21.3172956513599,49.8826184277426,"249219998",JODŁOWA,"250"
21.4152199018912,49.8809231715876,"249219997",BRZOSTEK,"215"
21.8162129786888,49.8777923416412,"249219996",ŻARNOWA,"240"
21.2496310926565,49.8053799138019,"249210050",SZERZYNY,"290"
21.8559068136057,49.787220263525,"249210060",KRASNA,"280"
21.4654596889839,49.7330733361515,"249219995",JASŁO,"250"
21.4821793041238,49.739395362885,"249210080",JASŁO,"250"
21.8980880419021,49.6693694203895,"249219991",HACZÓW,"280"
21.1711894645841,49.6552075303791,"249210090",GORLICE,"300"
21.386746395311,49.6504832727203,"249210110",CIEKLIN,"290"
21.0823791035121,49.6183504101089,"249219989",SZYMBARK,"315"
21.5332330698369,49.611663058194,"249210120",NOWY ŻMIGRÓD,"300"
21.9649164323348,49.5962113614152,"249219988",BESKO,"290"
21.6957945741438,49.5776267583213,"249210130",ZBOISKA,"320"
21.961447922574,49.7166373525452,"249210160",ORZECHÓWKA,"310"
21.345500179804,49.5585452445098,"249210170",BARTNE,"540"
21.7609677453124,49.5495290541726,"249219987",LUBATOWA,"400"
21.4893154095314,49.515740871105,"249210180",KREMPNA,"380"
