fullname,abbr_ang,abbr_pol
Status pomiaru HPOD,StatusHPOD,
Status pomiaru HPON,StatusHPON,
Status pomiaru HPOW,StatusHPOW,
Status pomiaru HPRO,StatusHPRO,
Status pomiaru HSS,StatusHSS,
Status pomiaru IZD,StatusIZD,
Status pomiaru IZG,StatusIZG,
Status pomiaru KRWR,StatusKRWR,
Status pomiaru LDPS,StatusLDPS,
Status pomiaru LDS,StatusLDS,
Status pomiaru MAXO,StatusMAXO,
Status pomiaru MGLA,StatusMGLA,
Status pomiaru MGLD,StatusMGLD,
Status pomiaru NOG,StatusNOG,
Status pomiaru NOS,StatusNOS,
Status pomiaru OPMX,StatusOPMX,
Status pomiaru PKSN,StatusPKSN,
Status pomiaru PORK,StatusPORK,
Status pomiaru PORW,StatusPORW,
Status pomiaru PPPM,StatusPPPM,
Status pomiaru PPPS,StatusPPPS,
Status pomiaru PSDN,StatusPSDN,
Status pomiaru ROPT,StatusROPT,
Status pomiaru ROSA,StatusROSA,
Status pomiaru ROSD,StatusROSD,
Status pomiaru ROSW,StatusROSW,
Status pomiaru RPSN,StatusRPSN,
Status pomiaru RWSN,StatusRWSN,
Status pomiaru SADD,StatusSADD,
Status pomiaru SADZ,StatusSADZ,
Status pomiaru SGRN,StatusSGRN,
Status pomiaru SMDB,StatusSMDB,
Status pomiaru SNEG,StatusSNEG,
Status pomiaru SNID,StatusSNID,
Status pomiaru STD,StatusSTD,
Status pomiaru STM,StatusSTM,
Status pomiaru SUMM,StatusSUMM,
Status pomiaru SUUS,StatusSUUS,
Status pomiaru SZRD,StatusSZRD,
Status pomiaru SZRO,StatusSZRO,
Status pomiaru TEMP,StatusTEMP,
Status pomiaru TG05,StatusTG05,
Status pomiaru TG10,StatusTG10,
Status pomiaru TG100,StatusTG100,
Status pomiaru TG20,StatusTG20,
Status pomiaru TG50,StatusTG50,
Status pomiaru TGMI,StatusTGMI,
Status pomiaru TMAX,StatusTMAX,
Status pomiaru TMIN,StatusTMIN,
Status pomiaru TMNG,StatusTMNG,
Status pomiaru TMNS,StatusTMNS,
Status pomiaru TMXS,StatusTMXS,
Status pomiaru TPTR,StatusTPTR,
Status pomiaru TTZW,StatusTTZW,
Status pomiaru USL,StatusUSL,
Status pomiaru USLN,StatusUSLN,
Status pomiaru W10D,StatusW10D,
Status pomiaru W15D,StatusW15D,
Status pomiaru WID,StatusWID,
Status pomiaru WIDA,StatusWIDA,
Status pomiaru WIDO,StatusWIDO,
Status pomiaru WLGS,StatusWLGS,
Status pomiaru WLGW,StatusWLGW,
Status pomiaru WO6G,StatusWO6G,
Status pomiaru WODZ,StatusWODZ,
Status pomiaru WONO,StatusWONO,
Status pomiaru ZAMD,StatusZAMD,
Status pomiaru ZAND,StatusZAND,
Status pomiaru ZAWD,StatusZAWD,
Status pomiaru ZMED,StatusZMED,
Status pomiaru ZMET,StatusZMET,
Status pomiaru ZMGL,StatusZMGL,
Status pomiaru ZMNI,StatusZMNI,
Status pomiaru ZMWS,StatusZMWS,
Status pomiaru ZOGK,StatusZOGK,
Suma dobowa opadów [mm],rr_daily,
Suma dobowa opadu [mm],rr_daily,
Suma opadu dzień [mm],rr_daytime,
Suma opadu noc [mm],rr_nightime,
Temperatura gruntu -10 [°C],t10_soil,
Temperatura gruntu -100 [°C],t100_soil,
Temperatura gruntu -20 [°C],t20_soil,
Temperatura gruntu -5 [°C],t5_soil,
Temperatura gruntu -50 [°C],t50_soil,
Temperatura maksymalna za 12 godzin [°C],tmax_12h,
Temperatura minimalna przy gruncie [°C],tmin_soil,
Temperatura minimalna przy gruncie za 12 godzin [°C],tmin_soil_12h,
Temperatura minimalna za 12 godzin [°C],tmin_12h,
Temperatura powietrza [°C],t2m,
Temperatura punktu rosy [°C],td,
Temperatura termometru zwilżonego [°C],t_wet,
Ukształtowanie pokrywy [kod],snowcover_state,
Usłonecznienie,insolation,
Usłonecznienie [godziny],insolation_hours,
Wartość tendencji [wartość],tendency,
Widzialność [kod],visibility_code,
Widzialność automat [m],visibility_auto,
Widzialność operatora [m],visibility_human,
Wilgotność względna [%],rh,
Wskaźnik lodu [L/W],ice_indicator,
Wskaźnik wentylacji [W/N],ventil_indicator,
Wysokość podstawy chmur CL CM szyfrowana [kod],cloudbase_CM_code,
Wysokość podstawy niższej [m],cloudbase_low,
Wysokość podstawy tekstowy [opis],cloudbase,
Wysokość podstawy wyższej [m],cloudbase_high,
Wysokość pokrywy śnieżnej [cm],snowcover_height,
Wysokość próbki [cm],sample_height,
Wysokość śniegu na poletku [cm],snowcover_field_height,
Wysokość świeżo spadłego śniegu [cm,fresh_snow,
Wysokość świeżo spadłego śniegu [cm],fresh_snow,
Wystąpienie błyskawicy [0/1],lightning,
Wystąpienie pokrywy śnieżnej [0/1],snowcover_occur,
Wystąpienie rosy [0/1],dew_occur,
Zachmurzenie niskie [oktanty],cl_low,
Zachmurzenie ogólne [0-10 do dn.31.12.1988/oktanty od dn.01.01.1989],cl_tot,
Zachmurzenie ogólne [oktanty],cl_tot,
